222,G-0222,WC-1938,M-1938-18,T-39,P-02808,T-39,35,0,0,0
223,G-0223,WC-1938,M-1938-18,T-34,P-06711,T-34,70,0,0,0
224,G-0224,WC-1938,M-1938-18,T-39,P-01559,T-39,82,0,0,0
225,G-0225,WC-1950,M-1950-01,T-09,P-03149,T-09,30,0,0,0
226,G-0226,WC-1950,M-1950-01,T-09,P-08717,T-09,65,0,0,0
227,G-0227,WC-1950,M-1950-01,T-09,P-04939,T-09,71,0,0,0
228,G-0228,WC-1950,M-1950-01,T-09,P-03149,T-09,79,0,0,0
229,G-0229,WC-1950,M-1950-02,T-84,P-01124,T-84,59,0,0,0
230,G-0230,WC-1950,M-1950-02,T-84,P-01579,T-84,70,0,0,0
231,G-0231,WC-1950,M-1950-02,T-84,P-03929,T-84,84,0,0,0
232,G-0232,WC-1950,M-1950-03,T-27,P-04701,T-27,39,0,0,0
233,G-0233,WC-1950,M-1950-03,T-27,P-03959,T-27,51,0,0,0
234,G-0234,WC-1950,M-1950-04,T-80,P-09110,T-80,17,0,0,0
235,G-0235,WC-1950,M-1950-04,T-71,P-04220,T-71,81,0,0,0
236,G-0236,WC-1950,M-1950-04,T-71,P-05910,T-71,83,0,0,0
237,G-0237,WC-1950,M-1950-04,T-71,P-02813,T-71,89,0,0,0
238,G-0238,WC-1950,M-1950-05,T-39,P-09440,T-39,7,0,0,0
239,G-0239,WC-1950,M-1950-05,T-72,P-09793,T-72,25,0,0,0
240,G-0240,WC-1950,M-1950-05,T-72,P-08064,T-72,33,0,0,0
241,G-0241,WC-1950,M-1950-05,T-72,P-09793,T-72,68,0,0,0
242,G-0242,WC-1950,M-1950-05,T-39,P-02995,T-39,75,0,0,0
243,G-0243,WC-1950,M-1950-06,T-09,P-03614,T-09,3,0,0,0
244,G-0244,WC-1950,M-1950-06,T-73,P-03058,T-73,17,0,0,0
245,G-0245,WC-1950,M-1950-06,T-09,P-04939,T-09,32,0,0,0
246,G-0246,WC-1950,M-1950-06,T-73,P-03058,T-73,88,0,0,0
247,G-0247,WC-1950,M-1950-07,T-84,P-02573,T-84,20,0,0,0
248,G-0248,WC-1950,M-1950-07,T-84,P-00657,T-84,23,0,0,0
249,G-0249,WC-1950,M-1950-07,T-84,P-00657,T-84,51,0,0,0
250,G-0250,WC-1950,M-1950-07,T-84,P-01579,T-84,81,0,0,0
251,G-0251,WC-1950,M-1950-07,T-44,P-08778,T-44,89,0,0,1
252,G-0252,WC-1950,M-1950-08,T-71,P-05910,T-71,17,0,0,0
253,G-0253,WC-1950,M-1950-08,T-71,P-02813,T-71,30,0,0,0
254,G-0254,WC-1950,M-1950-09,T-80,P-01919,T-80,38,0,0,0
255,G-0255,WC-1950,M-1950-10,T-72,P-05021,T-72,17,0,0,0
256,G-0256,WC-1950,M-1950-10,T-72,P-03589,T-72,26,0,0,0
257,G-0257,WC-1950,M-1950-10,T-53,P-09381,T-53,35,0,0,0
258,G-0258,WC-1950,M-1950-10,T-53,P-02734,T-53,74,0,0,0
259,G-0259,WC-1950,M-1950-11,T-09,P-03149,T-09,4,0,0,0
260,G-0260,WC-1950,M-1950-11,T-09,P-02593,T-09,69,0,0,0
261,G-0261,WC-1950,M-1950-12,T-13,P-09632,T-13,16,0,0,0
262,G-0262,WC-1950,M-1950-12,T-13,P-03082,T-13,32,0,0,0
263,G-0263,WC-1950,M-1950-12,T-80,P-02433,T-80,47,0,0,0
264,G-0264,WC-1950,M-1950-12,T-80,P-03061,T-80,48,0,0,1
265,G-0265,WC-1950,M-1950-12,T-13,P-07307,T-13,54,0,0,0
266,G-0266,WC-1950,M-1950-12,T-13,P-03082,T-13,60,0,0,0
267,G-0267,WC-1950,M-1950-12,T-13,P-04368,T-13,82,0,0,0
268,G-0268,WC-1950,M-1950-13,T-71,P-02813,T-71,48,0,0,0
269,G-0269,WC-1950,M-1950-14,T-39,P-09440,T-39,12,0,0,0
270,G-0270,WC-1950,M-1950-14,T-39,P-00856,T-39,62,0,0,0
271,G-0271,WC-1950,M-1950-15,T-81,P-01364,T-81,14,0,0,0
272,G-0272,WC-1950,M-1950-15,T-81,P-07790,T-81,18,0,0,0
273,G-0273,WC-1950,M-1950-15,T-81,P-01903,T-81,23,0,0,0
274,G-0274,WC-1950,M-1950-15,T-81,P-01364,T-81,40,0,0,0
275,G-0275,WC-1950,M-1950-15,T-81,P-01364,T-81,51,0,0,0
276,G-0276,WC-1950,M-1950-15,T-81,P-01903,T-81,54,0,0,0
277,G-0277,WC-1950,M-1950-15,T-81,P-05499,T-81,83,0,0,0
278,G-0278,WC-1950,M-1950-15,T-81,P-09441,T-81,87,0,0,0
279,G-0279,WC-1950,M-1950-16,T-73,P-06710,T-73,10,0,0,0
280,G-0280,WC-1950,M-1950-16,T-73,P-02067,T-73,44,0,0,0
281,G-0281,WC-1950,M-1950-16,T-44,P-03150,T-44,89,0,0,0
282,G-0282,WC-1950,M-1950-17,T-09,P-03149,T-09,17,0,0,0
283,G-0283,WC-1950,M-1950-17,T-09,P-03149,T-09,36,0,0,0
284,G-0284,WC-1950,M-1950-17,T-09,P-03960,T-09,39,0,0,0
285,G-0285,WC-1950,M-1950-17,T-09,P-03149,T-09,52,0,0,0
286,G-0286,WC-1950,M-1950-17,T-09,P-03149,T-09,58,0,0,0
287,G-0287,WC-1950,M-1950-17,T-72,P-08064,T-72,67,0,0,1
288,G-0288,WC-1950,M-1950-17,T-09,P-04233,T-09,85,0,0,0
289,G-0289,WC-1950,M-1950-17,T-09,P-03960,T-09,88,0,0,0
290,G-0290,WC-1950,M-1950-18,T-81,P-09441,T-81,29,0,0,0
291,G-0291,WC-1950,M-1950-18,T-71,P-05910,T-71,37,0,0,0
292,G-0292,WC-1950,M-1950-18,T-71,P-05910,T-71,39,0,0,0
293,G-0293,WC-1950,M-1950-18,T-81,P-05562,T-81,73,0,0,0
294,G-0294,WC-1950,M-1950-19,T-09,P-03149,T-09,15,0,0,0
295,G-0295,WC-1950,M-1950-19,T-09,P-08717,T-09,21,0,0,0
296,G-0296,WC-1950,M-1950-19,T-09,P-03960,T-09,31,0,0,0
297,G-0297,WC-1950,M-1950-19,T-09,P-03960,T-09,55,0,0,0
298,G-0298,WC-1950,M-1950-19,T-09,P-03149,T-09,57,0,0,0
299,G-0299,WC-1950,M-1950-19,T-09,P-02593,T-09,67,0,0,0
300,G-0300,WC-1950,M-1950-19,T-71,P-04220,T-71,71,0,0,0
301,G-0301,WC-1950,M-1950-20,T-72,P-03589,T-72,5,0,0,0
302,G-0302,WC-1950,M-1950-20,T-81,P-09441,T-81,39,0,0,0
303,G-0303,WC-1950,M-1950-20,T-72,P-05021,T-72,40,0,0,0
304,G-0304,WC-1950,M-1950-20,T-81,P-01364,T-81,77,0,0,0
305,G-0305,WC-1950,M-1950-20,T-81,P-01364,T-81,85,0,0,0
306,G-0306,WC-1950,M-1950-21,T-72,P-05021,T-72,15,0,0,0
307,G-0307,WC-1950,M-1950-21,T-72,P-03754,T-72,33,0,0,0
308,G-0308,WC-1950,M-1950-21,T-72,P-03589,T-72,80,0,0,0
309,G-0309,WC-1950,M-1950-21,T-71,P-02813,T-71,82,0,0,0
310,G-0310,WC-1950,M-1950-22,T-09,P-05293,T-09,47,0,0,0
311,G-0311,WC-1950,M-1950-22,T-81,P-01903,T-81,66,0,0,0
312,G-0312,WC-1950,M-1950-22,T-81,P-09441,T-81,79,0,0,0
313,G-0313,WC-1954,M-1954-01,T-09,P-04939,T-09,23,0,0,0
314,G-0314,WC-1954,M-1954-01,T-09,P-07677,T-09,30,0,0,0
315,G-0315,WC-1954,M-1954-01,T-09,P-09243,T-09,34,0,0,0
316,G-0316,WC-1954,M-1954-01,T-09,P-09243,T-09,43,0,0,0
317,G-0317,WC-1954,M-1954-01,T-09,P-01861,T-09,69,0,0,0
318,G-0318,WC-1954,M-1954-02,T-84,P-04520,T-84,15,0,0,0
319,G-0319,WC-1954,M-1954-03,T-05,P-09592,T-05,33,0,0,0
320,G-0320,WC-1954,M-1954-04,T-81,P-01364,T-81,71,0,0,0
321,G-0321,WC-1954,M-1954-04,T-81,P-01903,T-81,84,0,0,0
322,G-0322,WC-1954,M-1954-05,T-73,P-07799,T-73,18,0,0,0
323,G-0323,WC-1954,M-1954-05,T-39,P-05616,T-39,44,0,0,0
324,G-0324,WC-1954,M-1954-05,T-73,P-04731,T-73,78,0,0,0
325,G-0325,WC-1954,M-1954-06,T-34,P-01259,T-34,12,0,0,0
326,G-0326,WC-1954,M-1954-06,T-34,P-09080,T-34,18,0,0,0
327,G-0327,WC-1954,M-1954-06,T-34,P-06982,T-34,24,0,0,0
328,G-0328,WC-1954,M-1954-06,T-34,P-06982,T-34,36,0,0,0
329,G-0329,WC-1954,M-1954-06,T-34,P-06982,T-34,50,0,0,0
330,G-0330,WC-1954,M-1954-06,T-34,P-08206,T-34,59,0,0,0
331,G-0331,WC-1954,M-1954-06,T-34,P-03223,T-34,75,0,0,0
332,G-0332,WC-1954,M-1954-06,T-34,P-03223,T-34,83,0,0,0
333,G-0333,WC-1954,M-1954-06,T-34,P-01259,T-34,89,0,0,0
334,G-0334,WC-1954,M-1954-07,T-77,P-08861,T-77,2,0,0,0
335,G-0335,WC-1954,M-1954-07,T-83,P-00262,T-83,14,0,0,0
336,G-0336,WC-1954,M-1954-07,T-83,P-05587,T-83,52,0,0,0
337,G-0337,WC-1954,M-1954-07,T-83,P-06734,T-83,60,0,0,0
338,G-0338,WC-1954,M-1954-07,T-83,P-08055,T-83,84,0,0,0
339,G-0339,WC-1954,M-1954-08,T-06,P-03200,T-06,5,0,0,0
340,G-0340,WC-1954,M-1954-08,T-27,P-09276,T-27,26,0,0,0
341,G-0341,WC-1954,M-1954-08,T-27,P-05041,T-27,36,0,0,0
